#Good 5\* units for cost limit quests

|Red|Blue|Green|Yellow
|:--|:--|:--|:--
|Arthur 5* | Anastasia | Amala | Achilles
|Bridal Siegfried | Bridal Amala | Apple Cat 5* | Choi Bounge
|Cerberus | Christmas Himiko | Athena Asamiya 5* | Faraday 4*
|Chang Koehan | Colchis 5* | Azazel 5* | Gael
|DRTH 4* | Deidara | Euler 4* | Hayato
|Himiko | Euclid 4* | Cooldown Cat | King
|Isamu Kondo 4* | Kurara | Fay 5* | Lupica 5*
|Karma 5* | Nene | Gareth 5* | Musashi Benkei 5*
|King Draig 4* | Odin 4* | Hamelin 5* | Musashi Miyamoto 5*
|Kurumi 4* | Sugarful | Haydn Ogre | Pan
|Lagrange 4* | | Hikoboshi 5* | Rapunzel 4*
|Meiko | | Inaba 5* | Soho Takuan
|Muspelheim | | Joe Higashi | Sphinx 4*
|Naotora Ii | | Kaede | Tristan
|Reflect and MIRROR | | Kakashi | 
|Saki | | Lancelot 4* | 
|Thumbelina 4* | | Nibelungen | 
|Witch Octopus 4* | | Ose 5* | 
|Yuno | | Robin Hood | 
| | | Santa Ose 5* | 
| | | Vice | 
