#Red Units

Name | Rating | Obtain Method
:--|:--|:--
[Morse](http://game8.jp/archives/93206) | 98 | Festival (H)
Cai Shen | [97] | Regional Festival (H)
[Fahrenheit](http://game8.jp/archives/158326) | 97 | Festival (H)
[Excalibur](http://game8.jp/archives/168986) | 96 | Sword Ranking Ticket
[Schrodinger UA](http://game8.jp/archives/106354) | 96 | Festival (H)
[Freud/Froid UA](http://game8.jp/archives/109112) | 96 | Festival (H)
[Kyo Kusanagi](http://game8.jp/archives/156800) | 96 | KoF Collab (H)
[Seki](http://game8.jp/archives/91375) | 96 [94] | Festival (H)
[Oda Nobunaga UA](http://game8.jp/archives/121289) | 95 | Ultimate Wizard (Q)
[Cardano](http://game8.jp/archives/177648) | 95 | Festival (H)
[Summer Guan Yu](http://game8.jp/crashfever/185196) | [95] | Summer Event (H)
[Megumin Pajama Ver.](http://game8.jp/archives/182707) | 95 | Konosuba Collab (H)
[Cauchy](http://game8.jp/archives/85084) | 95 | Festival (H)
[Rose](http://game8.jp/archives/137211) | 95 | 2nd Queen's Tower
[Bohr](http://game8.jp/archives/107260) | 95 | Festival (H)
[Mai Shiranui](http://game8.jp/archives/156802) | 95 | KoF Collab (H)
[Lagrange UA](http://game8.jp/archives/83636) | 94 | Festival (H)
[Megumin](http://game8.jp/crashfever/182708) | 94 | Konosuba Collab (H)
[Oda Nobunaga](http://game8.jp/archives/47885) | 94 | Ultimate Wizard (Q)
[Gambanteinn](http://game8.jp/archives/105578) | 94 | Staff Ranking Ticket
[ChunHyang/Haruka](http://game8.jp/archives/161992) | 93 [94] | Regional Festival (H)
[Samhain](http://game8.jp/archives/178813) | 93 [94] | Halloween 2 Event (H)
[Gilgamesh](http://game8.jp/archives/67608) | 93 | Ultimate Wizard (Q)
[Summer Hubble](http://game8.jp/archives/163386) | 93 | Summer Event (H)
[Summer Dirac](http://game8.jp/archives/163387) | 93 | Summer Event (H)
[Muramasa](http://game8.jp/archives/54985) | 93 | Blade Ranking Ticket
[Toyotomi Hideyoshi](http://game8.jp/archives/108606) | 93 [91] | Ultimate Wizard (Q)
[Lily](http://game8.jp/archives/154512) | 92 | Bridal Event (H)
[Volta](http://game8.jp/archives/132161) | 92 [96] | Festival (H)
[Zhuge Liang](http://game8.jp/archives/91686) | 91 | Permanent (H)
[DRTH Sanrio Ver.](http://game8.jp/archives/67593) | 91 | Sanrio Collab (H)
[Alexander](http://game8.jp/archives/155011) | 91 | Ultimate Wizard (Q)
[Strength](http://game8.jp/archives/131665) | 91 | Ghost Shop
[Iori Yagami](http://game8.jp/archives/156809) | 90 [91] | KoF Collab Ultimate (Q)
[Paracelsus](http://game8.jp/archives/144337) | 90 | Festival (H)
[Trojan/Troy](http://game8.jp/archives/101076) | 90 | Ghost Shop
[Napoleon](http://game8.jp/archives/73322) | 90 [88] | Permanent (H)
[Megaphrodite](http://game8.jp/archives/133164) | 90 [88] | BC Collab (H)
[Legato](http://game8.jp/archives/175060) | 90 | School Event Ultimate (Q)
[Sarutobi Sasuke](http://game8.jp/archives/108590) | 89 | Permanent (H)
[Holmes](http://game8.jp/archives/168137) | 89 | Permanent (H)
[Fondue](http://game8.jp/archives/124589) | 89 | Valentine's Event (H)
[Heighway UA](http://game8.jp/archives/118823) | 89 | Ranking (H)
Summer Zheng Chenggong | [88] | Summer Event (H)
[Thumbelina](http://game8.jp/archives/35481) | 88 | Permanent (H)
[Kushinadahime/Princess Kushinada](http://game8.jp/archives/126852) | 88 | Permanent (H)
[Chelsea](http://game8.jp/archives/171424) | 88 | School Event (H)
[Summer Izanami](http://game8.jp/archives/163388) | 88 | Summer Event (H)
[Garuda](http://game8.jp/archives/146265) | 88 | Regional Festival (H)
[Cleopatra](http://game8.jp/archives/147024) | 88 | Permanent (H)
[King Draig](http://game8.jp/archives/41582) | 88 | Permanent (H)
[Frenzied Cat Builder/Crazed Macho Cat](http://game8.jp/archives/133172) | 88 | BC Collab Ultimate (Q)
[Megurine Luka V4X] (http://game8.jp/archives/119978) | 87 | Vocaloid Collab (H)
[Lancelot Halloween Ver.](http://game8.jp/archives/95301) | 87 | Halloween Event (H)
[Mikasa Attack on Titan](http://game8.jp/archives/75462) | 87 | AoT Collab (H)
[Roy Mustang](http://game8.jp/archives/150115) | 86 | FMA Collab (H)
[Thor](http://game8.jp/archives/116956) | 86 | Permanent (H)
[Maclaurin UA](http://game8.jp/archives/94362) | 86 | Ranking (H)
[Orihime](http://game8.jp/archives/73569) | 86 | Tanabata Event (H)
[Synced To You Hacka Doll 1](http://game8.jp/archives/176746) | 86 | Hacka Doll Collab Ticket (H)
[Snakeskin Moonwhite Ig (Hacka Doll Reskin)](http://game8.jp/archives/176746) | 86 | TMT Event Ticket (H)
[Cornet](http://game8.jp/archives/124728) | 86 | Valentine's Event (H)
[Chris UA](http://game8.jp/archives/156834) | 86 | KoF Collab (Q)
[Praline](http://game8.jp/archives/124587) | 86 | Valentine's Event (Q)
[Nemesis](http://game8.jp/archives/97779) | 86 [88] | Permanent (H)
[Metatron](http://game8.jp/archives/59230) | 85 | Permanent (H)
[Maclaurin](http://game8.jp/archives/94363) | 85 | Ranking (H)
[Bride Snow White](http://game8.jp/archives/154516) | 85 | Bridal Event (H)
[Paula and Danny](http://game8.jp/archives/106905) | 85 [82] | Christmas Event (Q)
[Amaterasu](http://game8.jp/archives/30987) | 85 | Wizard (Q)
[Apollo](http://game8.jp/archives/71120) | 85 | Permanent (H)
[Isamu Kondo](http://game8.jp/archives/32721) | 85 | Permanent (H)
Medea | [83] | ToS Collab (H)
[Son Goku UA](http://game8.jp/archives/144171) | 83 | Wizard (Q)
